01,03.14 09.37 01.25 02.30,04.13 06.75 06.76 03.18,04.23,09.53,03.11,06.27
02,06.70 07.25 01.91 08.88,08.62 01.10 01.02 00.63,06.05,04.34,01.50,03.25
03,08.38 06.18 06.70 06.24,04.63 08.51 03.81 05.16,09.55,09.26,03.13,03.92
04,02.31 01.56 05.44 07.78,05.61 02.80 02.74 08.46,08.01,02.64,02.64,08.16
05,07.26 03.92 01.81 03.77,07.54 05.72 08.76 08.06,08.33,02.46,01.15,09.33
06,07.71 08.19 08.14 06.00,08.04 00.18 02.98 07.90,06.65,00.72,06.09,00.58
07,09.49 01.34 04.13 04.45,00.47 08.44 05.18 05.07,04.36,04.40,05.45,06.38
08,06.04 03.27 07.80 03.23,03.89 05.05 07.43 04.94,00.16,07.61,04.94,06.34
09,06.12 00.46 02.19 07.92,04.86 09.18 01.23 01.58,09.38,04.81,01.57,03.64
10,09.03 07.15 06.21 01.56,01.95 06.02 01.60 06.08,06.27,09.57,01.93,05.14
11,08.12 03.77 03.11 01.38,08.97 01.95 06.64 09.54,00.37,08.75,08.71,05.52
12,08.69 07.18 04.93 03.59,07.85 03.19 05.90 03.24,02.73,06.61,03.96,02.38
13,01.12 02.59 06.49 08.28,07.02 02.53 06.00 03.02,03.12,08.74,02.31,04.78
14,05.20 01.69 07.25 01.74,06.39 04.00 07.06 00.01,03.96,00.27,02.86,02.21
15,06.55 06.75 04.52 08.30,04.65 09.95 08.20 05.10,02.04,08.22,02.94,06.23
16,01.16 05.35 06.45 08.88,00.08 00.42 05.72 09.08,03.98,02.62,02.34,01.95
17,08.89 05.48 08.31 08.55,00.56 09.33 02.21 05.89,06.20,06.11,01.39,01.65
18,01.95 05.62 00.30 00.10,03.93 07.33 00.28 00.96,05.59,06.58,01.27,07.56
19,09.22 09.55 00.57 06.02,04.47 05.85 09.04 01.93,01.61,02.79,00.10,06.07
20,02.44 00.55 01.76 05.86,06.54 02.16 07.06 03.95,05.83,07.39,03.15,00.59
21,05.07 04.67 04.44 01.34,01.30 00.04 00.02 06.71,09.86,07.20,00.70,05.18
22,09.93 07.79 06.05 06.30,07.38 05.80 06.64 05.36,07.61,05.41,01.85,06.19
23,06.43 06.13 08.61 03.68,01.57 04.31 01.25 02.57,02.81,05.28,07.91,04.05
24,03.32 04.89 03.80 06.79,00.34 04.76 06.46 03.92,07.67,00.18,03.61,02.46
25,08.06 04.73 08.68 06.98,08.14 00.74 04.37 03.72,03.74,09.56,09.69,07.10
26,08.52 00.80 00.61 04.85,03.55 04.53 09.74 03.56,00.76,05.59,05.30,01.08
27,08.09 03.90 04.80 07.43,09.05 00.05 03.56 00.66,04.61,00.10,03.55,09.33
28,00.16 08.65 02.78 08.16,05.44 04.29 00.53 08.33,00.07,06.53,08.86,09.09
29,02.77 08.11 05.51 02.17,06.80 01.93 08.75 05.66,09.61,06.64,09.21,08.72
30,09.51 09.78 09.27 03.91,07.01 02.74 05.15 08.61,03.88,06.57,02.10,01.98
31,07.54 02.50 07.91 09.26,03.68 06.53 05.14 09.71,05.00,01.98,07.42,10.00
32,08.64 09.00 09.96 09.43,00.44 05.30 09.75 08.59,08.54,07.01,05.68,08.09
33,04.34 03.80 03.93 08.84,03.55 07.25 08.92 00.50,05.12,06.64,05.15,09.61
34,00.89 01.13 00.18 03.98,03.84 02.46 04.19 04.97,07.60,07.19,06.30,04.11
35,05.19 02.49 03.05 05.68,09.69 04.75 09.30 01.84,04.72,04.74,06.89,01.85
36,07.50 08.75 01.39 01.83,02.33 09.50 02.18 06.91,07.27,05.95,06.28,01.96
37,01.94 06.17 01.12 02.80,09.01 02.22 06.70 04.20,07.53,01.18,02.30,06.41
38,00.59 01.27 08.20 06.66,05.35 07.31 07.62 07.27,08.12,04.45,09.21,06.91
39,02.37 04.19 05.46 06.52,02.49 01.95 07.27 06.56,01.03,00.01,00.06,07.06
40,02.31 05.12 01.63 07.06,00.21 04.60 07.24 05.05,02.93,00.18,02.02,06.82
